word,pronunciation,part_of_speech,definition
unacceptable,'ʌnәk'septәbl,a.,不能接受的
conspire,kәn'spaiә,v.,(事件)巧合促成
incredible,in'kredәbl,a.,难以置信的
resemblance,ri'zemblәns,n.,相似
scorn,skɔ:n,n.,嘲弄，挖苦
acquaint,ә'kweint,v.,使了解
reunite,'ri:ju:'nait,v.,使团聚
assume,ә'sju:m,v.,假定，认为
express,iks'pres,n.,快车 a.高速的
punctual,'pʌŋktjuәl,a.,准时的
condition,kәn'diʃәn,v.,使习惯于
unshakable,ʌn'ʃeikәbl,a.,不可动摇的
faith,feiθ,n.,信任
cancel,'kænsәl,v.,取消
dislocate,'dislәkeit,v.,打乱(计划等)
blame,bleim,v.,责怪
consult,kәn'sʌlt,v.,请教，查阅
direct,di'rekt,ad.,径直地
odd,ɔd,a.,奇怪的，异常的
reflect,ri'flekt,v.,细想
advantage,әd'va:ntidʒ,n.,优势
mighty,'maiti,a.,强大的，有力的
dawdle,'dɔ:dl,v.,慢吞吞地动或做
chug,tʃʌg,v.,咔嚓咔嚓地响
lodge,lɔdʒ,v.,提出；n.小屋，(旅游区的)小旅馆
complaint,kәm'pleint,n.,抱怨
triumph,'traiәmf,n.,胜利; v.战胜
asterisk,'æstәrisk,n.,星号
conduct,"'kɔndәkt, kәn'dʌkt",v.,引向，引导
calendar,'kælindә,n.,历法，日历
historian,his'tɔ:riәn,n.,历史学家
unique,ju:'ni:k,a.,无与伦比的；独特的
steadily,'stedili,ad.,不断地
solely,'sәuli,ad.,唯一地
video,'vidiәu,n.,录像
bewilder,bi'wildә,v.,令人眼花缭乱
deduce,di'dju:s,v.,推断，推理
scanty,'skænti,a.,不足的，贫乏的
mammoth,'mæmәθ,n.,(古生物)长毛象
tusk,tʌsk,n.,獠牙，长牙，象牙
nomad,'nɔmәd,n.,游牧民
correlate,'kɔrileit,v.,使相互联系
clue,klu:,n.,线索
insignificant,'insig'nifikәnt,a.,不重要的
shed,ʃed,v.,使流出，泻
advent,'ædvәnt,n.,出现，到来，来临
agriculture,'ægrikʌltʃә,n.,农业
assumption,ә'sʌmpʃәn,n.,假定，设想
dot,dɔt,n.,小圆点
symbol,'simbәl,n.,符号
engrave,in'greiv,v.,雕刻
ivory,'aivәri,n.,象牙制品
phase,feiz,n.,月相，天相
primitive,'primitiv,a.,原始的
depict,di'pikt,v.,描画，描绘
rough,rʌf,a.,崎岖不平的
boulder,'bәuldә,n.,大石块
pit,pit,v.,使得坑坑洼洼
perturb,pә'tә:b,v.,使不安
underestimate,'ʌndәr'estimeit,v.,低估
swerve,swә:v,v.,急转弯
scoop,sku:p,v.,挖出
hammer,'hæmә,v.,(用锤)击打，锤打
rip,rip,v.,划破，撕，扯
zigzag,'zigzæg,n.,"""之""字形"
shallow,'ʃælәu,a.,浅的
grind,graind,v.,磨擦，磨
petrol,'petrәl,n.,汽油
stretch,stretʃ,n.,一大片(平地或水)
obstacle,'ɔbstәkl,n.,障碍
clump,klʌmp,n.,丛，簇
fissure,'fiʃә,n.,(石，地的)深缝
renew,ri'nju:,v.,重复；更新
pleading,'pli:diŋ,n.,恳求
gear,giә,n.,(汽车)排档
astride,ә'straid,prep.,骑，跨
crack,kræk,n.,缝隙
halt,hɔ:lt,n.,停
dashboard,'dæʃbɔ:d,n.,(汽车上的)仪表盘
hoax,hәuks,n.,骗局，戏弄
deception,di'sepʃәn,n.,欺骗，骗局
indulge,in'dʌldʒ,v.,使沉迷；享受
pneumatic,nju:'mætik,a.,气动的
drill,dril,n.,钻
silly,'sili,a.,无意义的，无聊的
advance,әd'va:ns,a.,预先的，事先获得的
archway,'a:tʃwei,n.,拱形门楼
remonstrate,ri'mɔnstreit,v.,规劝，告诫
ironically,ai'rɔnikәli,ad.,讽刺地
permission,pә(:)'miʃәn,n.,许可
grant,gra:nt,v.,同意，准予
illusion,i'lju:ʒәn,n.,幻想，错觉
pastoral,'pa:stәrәl,a.,田园的
breed,bri:d,v.,培育
rapture,'ræptʃә,n.,欣喜
extol,iks'tɔl,v.,赞美，颂扬
superior,sju:'piәriә,a.,优越的
twitter,'twitә,v.,(鸟)吱吱叫，嘁嘁喳喳叫
glint,glint,v.,闪烁
pasture,'pa:stʃә,n.,牧场
idyllic,ai'dilik,a.,田园诗的
virtually,'vә:tjuәli,ad.,几乎，差不多
dubious,'dju:bjәs,a.,可疑的，怀疑的
privilege,'privilidʒ,n.,好处，特权
misery,'mizәri,n.,苦难
acquaintance,ә'kweintәns,n.,熟人
treat,tri:t,n.,难得的乐事，享受
dweller,'dwelә,n.,居住者
stagger,'stægә,v.,摇晃，蹒跚
exotic,ig'zɔutik,a.,异乎寻常的，外来的
glow,glәu,n.,白炽光
descend,di'send,v.,下落，降临
tuck,tʌk,v.,缩进，隐藏
solitude,'sɔlitju:d,n.,孤独，寂寞
lure,ljuә,v.,引诱，诱惑
rambler,'ræmblә,n.,漫步者，散步者
undertaking,'ʌndә'teikiŋ,n.,任务，工作
foresight,'fɔ:sait,n.,预见；深谋远虑
foretell,fɔ:'tel,v.,预言
Grenoble,grә'noubl,n.,格里诺布尔
chasm,tʃæzәm,n.,断层，裂口，陷坑
flaw,flɔ:,n.,小裂缝；缺点，瑕疵
distinguished,dis'tiŋgwiʃt,a.,杰出的，著名的
Everest,'evәrist,n.,珠穆朗玛峰
wade,weid,v.,涉水
waterfall,'wɔ:tәfɔ:l,n.,瀑布
gear,giә,n.,(汽车)排档
inflatable,in'fleitәbl,a.,可充气的
rubble,'rʌbl,n.,碎瓦，瓦块
insistent,in'sistәnt,a.,连续的，不断的
boom,bu:m,v.,轰响
waterspout,'wɔtәspaut,n.,强大的水柱
cleft,kleft,n.,裂隙，开口
cavern,'kævәn,n.,大洞穴
stalagmite,'stælәgmait,n.,石笋
stalactite,'stælәktait,n.,钟乳石
limestone,'laimstәun,n.,石灰石
glisten,'glisn,v.,闪烁
eerie,'iәri,a.,引起恐惧的，可怕的
dome,dәum,n.,穹窿，圆顶
insure,in'ʃuә,v.,投保
fete,feit,n.,游园会
admittedly,әd'mitidli,ad.,公认的
purchase,'pә:tʃәs,v.,买
annual,'ænjuәl,a.,一年一度的
capsize,kæp'saiz,v.,(船)翻
shiver,'ʃivә,v.,打颤，发抖
dive,daiv,v.,(头向下)跳水
haul,hɔ:l,v.,拖曳
hawser,'hɔ:zә,n.,粗缆绳
rim,rim,n.,(圆形物品的)外沿，边
winch,wintʃ,n.,绞车(带有绞盘的车)
premium,'pri:mjәm,n.,保险费
recover,ri'kʌvә,v.,使……得到补偿，弥补
agonizing,'ægәnaiziŋ,a.,精神紧张的，提心吊胆的
perch,pә:tʃ,v.,处于(高处)
overbalance,'әuvә'bælәns,v.,失去平衡
clamp,klæmp,n.,夹钳，夹板
vertically,'vә:tikәli,ad.,垂直地
torrent,'tɔrәnt,n.,激流，洪流
rebound,ri'baund,v.,弹回
compartment,kәm'pa:tmәnt,n.,(轮船的)密封舱
cramped,kræmpt,a.,窄小的
stuffy,'stʌfi,a.,憋气的，闷气的
monotonous,mә'nɔtәnәs,a.,枯燥的，乏味的，单调的
rhythm,'riðәm,n.,有节奏的运动
click,klik,v.,发出咔哒声
lull,lʌl,v.,催人欲睡
snatch,snætʃ,n.,短时，片段
fumble,'fʌmbl,v.,乱摸，摸索
inspection,in'spekʃәn,n.,检查
inevitably,in'evitәbli,ad.,必然地，不可避免地
destination,'desti'neiʃәn,n.,目的地
exhaust,ig'zɔ:st,v.,使精疲力尽
motorway,'mәutәwei,n.,快车道
ferry,'feri,n.,渡船
cruise,kru:z,n.,巡游船
civilize,'sivilaiz,v.,使文明
spacious,'speiʃәs,a.,宽敞的
intimidate,in'timideit,v.,恐吓，恫吓
disadvantage,'disәd'va:ntidʒ,n.,短处，缺点
exhilaration,igzilә'reiʃәn,a.,使人高兴的，令人兴奋的
escapist,is'keipist,n.,逍遥者，逃避现实者
sip,sip,v.,呷，啜
champagne,ʃæm'pein,n.,香槟酒
refinement,ri'fainmәnt,n.,精心的安排
soar,sɔ:,v.,高飞，翱翔
landscape,'lændskeip,n.,景色
fresh,freʃ,a.,精神饱满的
democratic,'demә'krætik,a.,民主的
restrict,ris'trikt,v.,限制
abuse,"ә'bju:z, ә'bju:s",n.,辱骂，责骂
contention,kәn'tenʃәn,n.,论点
quintuplet,'kwintjuplit,n.,五胞胎之一
obscurity,әb'skjuәriti,n.,默默无闻
radically,'rædikәli,ad.,彻底地，完全地
exclusive,iks'klu:siv,a.,独占的，独家的
untold,'ʌn'tould,a.,数不尽地，无限的
perpetual,pә'petʃuәl,a.,永久的
nursery,'nә:sәri,n.,育婴室，保育室
commercialization,kә'mә:ʃәlai'zeiʃn,n.,商品化
commodity,kә'mɔditi,n.,商品
plead,pli:d,v.,找(借口)，辩解
ignorance,'ignәrәns,n.,无知，不懂
publication,'pʌbli'keiʃәn,n.,出版物，出版
gaily,'geili,ad.,愉快地，高兴地
leisure,'leʒә,n.,空闲
keen,ki:n,a.,热心的，渴望的
advisory,әd'vaizәri,a.,咨询的
novice,'nɔvis,n.,新手
consumer,kәn'sju:mә,n.,消费者，顾客
assemble,ә'sembl,v.,装配，组装
outlet,'aut-let,n.,出路，出口
creative,kri(:)'eitiv,a.,创造性的
handyman,'hændimæn,n.,手巧的人，能工巧匠
resourceful,ri'sɔ:sful,a.,足智多谋的
fuse,fju:z,v.,由于烧断保险丝而短路
rickety,'rikiti,a.,要散架的，晃动的
clog,klɔg,v.,堵塞
delusion,di'lu:ʒәn,n.,错觉
adjustment,ә'dʒʌstmәnt,n.,调整
screw,skru:,n.,螺丝钉
dismantle,dis'mæntl,v.,拆卸
chunk,tʃʌŋk,n.,(厚)块
snap,snæp,v.,绷断
insurmountable,'insә'mauntәbl,a.,不能克服的，难以对付的
jigsaw,'dʒigsɔ:,n.,线锯
nag,næg,v.,唠叨不休
rust,rʌst,v.,生锈
pollution,pә'lu:ʃәn,n.,污染
sheer,ʃiә,a.,纯粹的，不掺杂的
worldwide,'wә:ldwaid,ad.,在全世界
overwhelm,'әuvә'hwelm,v.,制服，使不知所措
pollute,pә'lju:t,v.,污染
pesticide,'pestisaid,n.,杀虫剂
fertilizer,'fә:tilaizә,n.,肥料
salmonella,sælmә'nelә,n.,沙门氏菌
vegetarian,vedʒә'tєәriәn,n.,吃素的人
insidious,in'sidiәs,a.,暗中为害的
urban,'ә:bәn,a.,城市的
burglar,'bә:glә,n.,窃贼
burgle,'bә:gl,v.,入室偷窃
scream,skri:m,v.,尖叫
profound,prә'faund,a.,极度的
irritation,'iri'teiʃәn,n.,烦躁
whine,wain,v.,发呜呜声
helicopter,'helikɔptә,n.,直升飞机
maximum,'mæksimәm,a.,最大的
technology,tek'nɔlәdʒi,n.,技术
contribution,'kɔntri'bju:ʃәn,n.,贡献
mobile,'mәubail,a.,可移动的
snore,snɔ:,v.,打鼾
offender,ә'fendә,n.,冒犯者
staggering,'stægәriŋ,a.,令人惊愕的
trumpet,'trʌmpit,v.,吹号
partner,'pa:tnә,n.,伙伴
inaccessible,inæk'sesәbl,a.,难接近的，达不到的
hospitable,'hɔspitәbl,a.,好客的
hostile,'hɔstail,a.,不友好的，有敌意的
vicinity,vi'siniti,n.,"周围,附近"
architectural,'a:ki'tektʃәrәl,a.,建筑的
fresco,'freskәu,n.,壁画
abruptly,ә'brʌptli,ad.,突然地，意外地
tramp,træmp,v.,徒步行进
moor,muә,v.,(用绳、链、锚)系(船)
ferry,'feri,n.,渡船
straggle,strægl,v.,蔓延，散乱分布
dilapidated,di'læpideitid,a.,陈旧破烂的，倒塌的
sardine,sa:'di:n,n.,沙丁鱼，沙丁鱼罐头
rag,ræg,n.,破烂衣服
motionless,'mәuʃәnlis,a.,不动的
procession,prә'seʃәn,n.,行列，成队的人群
shawl,ʃɔ:l,n.,披巾，围巾
peer,piә,v.,凝视，盯着
quicken,'kwikәn,v.,加快
rambling,'ræmbliŋ,a.,杂乱无章的
lavishly,'læviʃli,ad.,慷慨地，大方地
immaculate,i'mækjuleit,a.,清洁的，无污点的
parquet,pɑ:'kei,n.,镶木地板
gleam,gli:m,v.,发亮，闪光
preside,pri'zaid,v.,指挥
invisible,in'vizәbl,a.,看不见的，无形的
scrub,skrʌb,v.,擦拭，刷洗
enlightened,in'laitnd,a.,开明的，教化的
unrelenting,'ʌnri'lentiŋ,a.,不屈不挠的，不松懈的
disillusion,disi'lu:ʒәn,v.,使幻想破灭
qualification,'kwɔlifi'keiʃәn,n.,资格，能力
mirth,mә:θ,n.,欢笑，高兴
stack,stæk,v.,(整齐地)堆放，排放；n.堆
cellar,'selә,n.,地窖
resolution,'rezә'lju:ʃәn,n.,决心
mentally,'mentli,ad.,内心里
compile,kәm'pail,v.,编辑，编制
formidable,'fɔ:midәbl,a.,令人畏惧的
recur,ri'kә:,v.,再发生，又出现
regularity,'regju'læriti,n.,规律性
accomplishment,ә'kɔmpliʃmәnt,n.,成就
attainment,ә'teinmәnt,n.,达到；成就，造诣
inveterate,in'vetәrit,a.,根深蒂固的
scheme,ski:m,n.,简单的计划，方案
ambitious,æm'biʃәs,a.,雄心勃勃的
pitfall,'pitfɔ:l,n.,意外的困难，易犯的错误
modest,'mɔdist,a.,"要求不过分的,谦虚的"
frame,freim,n.,躯体
betray,bi'trei,v.,暴露，显露
troop,tru:p,v.,成群结队地走动
unsettle,ʌn'setl,v.,使不安
taunt,tɔ:nt,n.v.,嘲笑，奚落人的话
jibe,dʒaib,n.,嘲弄，挖苦
wane,wein,v.,逐渐变小，变弱
diminish,di'miniʃ,v.,减少，缩小
hypnotize,'hipnәtaiz,v.,使欲睡，使朦胧
undoing,ʌn'du:iŋ,n.,祸根，毁灭的原因
screen,skri:n,n.,电视机屏幕
technician,tek'niʃәn,n.,技师
software,'sɔftwєә,n.,软件
alternative,ɔ:l'tә:nәtiv,a.,选择的
diagnose,'daiәgnәuz,v.,诊断
relieve,ri'li:v,v.,减轻
accountant,ә'kauntәnt,n.,会计
repetitive,ri'petitiv,a.,重复的
clerical,'klerikәl,a.,办公室工作的
network,'netwә:k,n.,网络
permanent,'pә:mәnәnt,a.,永久的
tint,tint,v.,给染色
delicate,'delikit,a.,淡色的
shade,ʃeid,n.,色度
observant,әb'zә:vnt,a.,观察力敏锐的
dispel,dis'pel,v.,驱散，消除
outlandish,aut'lændiʃ,a.,稀奇古怪的
acquisition,'ækwi'ziʃәn,n.,获得
cosmetic,kɔz'metik,n.,化妆品
outrageous,aut'reidʒәs,a.,出人预料的；令人不悦的
fanciful,'fænsiful,a.,想象出来的
insoluble,in'sɔljubl,a.,不可溶解的
prompt,prɔmpt,v.,敦促，激励
exclusive,iks'klu:siv,a.,独占的，独家的
syllable,'silәbl,n.,音节
bewilderment,bi'wildәmәnt,n.,迷惑，糊涂
freckle,'frekl,n.,雀斑
evidently,'evidәntli,ad.,显然地，明显地
weird,wiәd,a.,奇异的，古怪的
concoction,kәn'kɔkʃәn,n.,调制品
intoxicate,in'tɔksikeit,v.,陶醉，得意忘形
blank,blæŋk,a.,空白的
discreetly,dis'kri:tli,ad.,谨慎地
clutch,klʌtʃ,v.,抓住
adorn,ә'dɔ:n,v.,装饰，打扮
evolve,i'vɔlv,v.,逐渐形成
incompetent,in'kɔmpitәnt,a.,不够格的，不称职的
safeguard,'seifga:d,v.,保护
parliamentary,'pa:lә'mentәri,a.,国会的
qualified,'kwɔlifaid,a.,合格的
grievance,'gri:vәns,n.,不平，冤屈
ombudsman,'ɔmbәdzmæn,n.,(瑞典和英国的)司法特派员
secretive,si'kri:tiv,a.,保密的
correspondence,'kɔris'pɔndәns,n.,来往信件
alter,'ɔ:ltә,v.,改变
accusation,'ækju(:)'zeiʃәn,n.,谴责，指控
ascertain,'æsә'tein,v.,查出，查明
prejudiced,'predʒәdist,a.,有偏见的，不公平的
prompt,prɔmpt,v.,敦促，激励
insect,'insekt,n.,昆虫
wage,weidʒ,v.,进行(斗争)
contaminate,kәn'tæmineit,v.,弄脏
provocation,'prɔvә'keiʃәn,n.,惹怒
spider,'spaidә,n.,蜘蛛
wasp,wɔsp,n.,黄蜂
moth,mɔθ,n.,飞蛾
ant,ænt,n.,蚂蚁
revulsion,ri'vʌlʃәn,n.,厌恶
horde,hɔ:d,n.,群
uncanny,ʌn'kæni,a.,神秘的，不可思议的
erase,i'reiz,v.,擦，抹去
beetle,'bi:tl,n.,甲虫
luscious,'lʌʃәs,a.,甘美的
cluster,'klʌstә,n.,一簇，一群
aphid,'eifid,n.,蚜虫
underside,'ʌndәsaid,n.,底面，下侧
colony,'kɔlәni,n.,一群
sticky,'stiki,a.,粘的
scurry,'skʌri,v.,小步跑
swarm,swɔ:m,v.,聚集
ingenuity,'indʒi'nju(:)iti,n.,机灵
astronomy,әs'trɔnәmi,n.,天文学
relative,'relәtiv,a.,相对的
infinitely,'infinitli,ad.,无限地，无穷地
solar,'sәulә,a.,太阳系的
Venus,'vi:nәs,n.,金星
Mars,ma:z,n.,火星
orbit,'ɔ:bit,n.,运行轨道
astronomical,'æstrә'nɔmikәl,a.,天文学的
generate,'dʒenәreit,v.,产生
particle,'pa:tikl,n.,微粒，粒子
Jupiter,'dʒu:pitә,n.,木星
blot,blɔt,v.,遮暗
analyse,'ænәlaiz,v.,分析
bacteria,bæk'tiәriә,n.,细菌
oxygen,'ɔksidʒәn,n.,氧气
realm,'relm,n.,领域
boundary,'baundәri,n.,界线；边界
pump,pʌmp,v.,用泵抽
overtake,'әuvә'teik,v.,(坏天气、麻烦等)突然降临
backwater,'bæk'wɔ:tә,n.,回水河汊
predecessor,'pri:disesә,n.,前任
meadow,'medәu,n.,草地，草场
crown,kraun,v.,给…戴花环
holly,'hɔli,n.,一种冬青植物
wreath,ri:θ,n.,花环
occurrence,ә'kʌrәns,n.,偶发事件
proportion,prә'pɔ:ʃәn,n.,部分
site,sait,v.,使位于
spell,spel,v.,招致，带来
stall,stɔ:l,n.,牲口棚
attic,'ætik,n.,顶楼
sweeping,'swi:piŋ,a.,范围广大的
critical,'kritikәl,a.,危急的
juncture,'dʒʌŋktʃә,n.,时刻，关头
raft,ra:ft,n.,木筏
unduly,ʌn'dju:li,ad.,过度地
stoutly,'stautli,ad.,牢固地，粗壮的
submerge,sʌb'mә:dʒ,v.,浸没
grapple,'græpl,v.,抓住
alien,'eiljәn,a.,异国的，外国的
emigrate,'emigreit,v.,移居(国外)
absorb,әb'sɔ:b,v.,全神贯注于
mortally,-tәli,ad.,致命地
comprehensive,'kɔmpri'hensiv,a.,广泛的；丰富的
milestone,'mailstәun,n.,里程碑
territory,'teritәri,n.,领地；地区
milometer,mai'lɔmitә,n.,计程表
spire,'spaiә,n.,(教堂的)塔尖
retrace,ri'treis,v.,返回，重走
stumble,'stʌmbl,v.,趔趄地走
horizon,hә'raizn,n.,地平线
reservoir,'rezәvwa:,n.,水库
lurk,lә:k,v.,潜藏
hinder,"'hindә, 'haindә",v.,妨碍
fingerprint,'fiŋgәprint,n.,指纹
chaos,'keiɔs,n.,混乱，无秩序
inconceivable,'inkәn'si:vәbl,a.,不可思议的
veritable,'veritәbl,a.,真正的，地地道道的
magpie,'mægpai,n.,喜欢收藏物品的人
toss,tɔs,v.,扔
discard,dis'ka:d,v.,丢弃
constable,'kʌnstәbl,n.,警察
ransack,'rænsæk,v.,洗劫
balcony,'bælkәni,n.,阳台
fussy,'fʌsi,a.,大惊小怪的，小题大做的
amass,ә'mæs,v.,积聚，收集
indiscriminate,'indis'kriminit,a.,不加选择的
clutter,'klʌtә [ n.,v.,一堆杂物;乱糟糟地堆满
string,striŋ,n.,"细线, 细绳"
requisite,'rekwizit,n.,必需品
mania,'meinjә,n.,"癖好,狂热"
sketch,sketʃ,n.,草图，图样
remote,ri'mәut,a.,(机会，可能性)极少的，小的
relaxation,ri:læk'seiʃәn,n.,休息，娱乐
verify,'verifai,v.,查证，核实
bearing,'bєәriŋ,n.,关系，联系
specimen,'spesimin,n.,标本
contented,kәn'tentid,a.,心满意足的
boredom,'bɔ:dәm,n.,烦恼，无聊
punctuality,'pʌŋktju'æliti,n.,准时
rural,'ruәrәl,ad.,农村的
disregard,'disri'ga:d,v.,不顾，无视
intellectual,'inti'lektjuәl,n.,知识分子
abstruse,æb'stru:s,a.,深奥的
coordinate,kәu'ɔdinit,v.,协调
reproach,ri'prәutʃ,v.,责备
puncture,'pʌŋktʃә,v.,刺破(轮胎)
diversion,dai'vә:ʃәn,n.,改道，绕道
trial,'traiәl,n.,讨厌的事、人
fraction,'frækʃәn,n.,很小一点儿
flourish,'flʌriʃ,n.,挥舞(打手势)
microscopic,'maikrә'skɔpik,a.,微小的
adamant,'ædәmәnt,a.,坚定的，不动摇的
